customer_id,age,income,employment_length,loan_amount,loan_term,interest_rate,credit_score,dti_ratio,existing_loans,previous_defaults,employment_type,education,marital_status,loan_purpose,loan_default
CUST-000001,51,27949.08,24,29858.59,12,19.15,493,0.6372,0,0,RETIRED,BACHELORS,SINGLE,EDUCATION,0
CUST-000002,29,50282.88,5,32432.79,12,21.52,662,0.1531,6,0,RETIRED,HIGH_SCHOOL,DIVORCED,BUSINESS,0
CUST-000003,31,158055.42,13,65066.34,36,22.47,451,0.6674,6,0,SELF_EMPLOYED,BACHELORS,DIVORCED,EDUCATION,1
CUST-000004,65,168572.68,17,7574.38,60,14.21,697,0.4604,4,0,UNEMPLOYED,BACHELORS,DIVORCED,EDUCATION,1
CUST-000005,46,80507.84,14,78847.87,24,10.03,845,0.2933,6,2,SALARIED,HIGH_SCHOOL,MARRIED,EDUCATION,1
CUST-000006,46,144318.15,23,46267.44,24,18.41,303,0.3645,3,0,SELF_EMPLOYED,PHD,SINGLE,AUTO,0
CUST-000007,31,195638.27,13,34354.49,24,10.58,491,0.1676,1,0,SELF_EMPLOYED,PHD,DIVORCED,BUSINESS,0
CUST-000008,69,70792.04,13,11086.37,60,18.21,824,0.2334,4,0,UNEMPLOYED,BACHELORS,MARRIED,BUSINESS,1
CUST-000009,52,143260.78,5,44789.66,48,16.77,366,0.6276,5,0,UNEMPLOYED,MASTERS,SINGLE,BUSINESS,1
CUST-000010,59,189862.10,21,60348.96,48,18.78,425,0.2850,1,0,UNEMPLOYED,BACHELORS,SINGLE,PERSONAL,1
CUST-000011,61,175034.00,30,37976.09,24,21.00,417,0.3313,5,0,UNEMPLOYED,BACHELORS,SINGLE,PERSONAL,1
CUST-000012,62,153733.12,14,31584.72,12,23.09,733,0.0599,2,0,SELF_EMPLOYED,HIGH_SCHOOL,DIVORCED,PERSONAL,1
CUST-000013,39,27538.03,21,87086.20,48,14.64,436,0.2328,3,0,RETIRED,HIGH_SCHOOL,SINGLE,AUTO,0
CUST-000014,62,71309.75,19,52755.58,36,17.69,677,0.4070,4,0,SELF_EMPLOYED,MASTERS,DIVORCED,PERSONAL,1
CUST-000015,59,35628.23,17,20593.37,36,16.73,515,0.6985,4,0,UNEMPLOYED,BACHELORS,SINGLE,AUTO,1
CUST-000016,39,102643.69,21,34220.53,36,24.38,344,0.3917,6,1,RETIRED,PHD,DIVORCED,PERSONAL,1
CUST-000017,57,96677.83,21,52226.21,60,6.07,635,0.2216,4,0,UNEMPLOYED,BACHELORS,SINGLE,PERSONAL,1
CUST-000018,38,47268.83,20,21903.53,60,9.95,794,0.1035,4,0,UNEMPLOYED,BACHELORS,SINGLE,AUTO,0
CUST-000019,37,111412.05,2,67861.02,48,19.48,324,0.1426,5,3,RETIRED,MASTERS,SINGLE,PERSONAL,1
CUST-000020,56,195843.66,20,48871.95,12,23.00,530,0.6638,1,0,SELF_EMPLOYED,PHD,MARRIED,AUTO,1
CUST-000021,65,193858.96,14,52982.92,12,13.60,313,0.4260,2,2,RETIRED,PHD,SINGLE,AUTO,1
CUST-000022,63,119946.20,34,7834.18,36,23.41,366,0.4774,4,0,RETIRED,HIGH_SCHOOL,MARRIED,EDUCATION,1
CUST-000023,53,19518.48,14,76853.74,12,12.63,478,0.6926,2,0,SALARIED,HIGH_SCHOOL,SINGLE,EDUCATION,1
CUST-000024,28,178734.60,10,54918.19,48,14.07,778,0.2960,3,0,SALARIED,HIGH_SCHOOL,DIVORCED,EDUCATION,0
CUST-000025,31,194399.83,2,57555.92,24,23.51,756,0.4222,3,0,SELF_EMPLOYED,MASTERS,MARRIED,PERSONAL,1
CUST-000026,42,131303.07,24,36919.40,24,24.54,761,0.1043,2,0,RETIRED,BACHELORS,SINGLE,EDUCATION,0
CUST-000027,52,103275.13,6,59555.81,60,23.69,504,0.1911,5,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,PERSONAL,1
CUST-000028,39,44315.65,21,61161.48,48,13.59,848,0.4707,5,0,SALARIED,MASTERS,DIVORCED,BUSINESS,0
CUST-000029,45,85506.63,18,6880.41,60,7.52,680,0.1447,1,0,SELF_EMPLOYED,BACHELORS,SINGLE,HOME,0
CUST-000030,70,110414.55,23,39665.47,36,7.29,317,0.4322,0,0,RETIRED,PHD,MARRIED,PERSONAL,0
CUST-000031,47,178249.58,15,75854.10,36,21.99,803,0.6712,0,0,UNEMPLOYED,PHD,MARRIED,PERSONAL,1
CUST-000032,43,139015.72,25,35647.20,60,15.56,658,0.1199,1,1,SELF_EMPLOYED,HIGH_SCHOOL,SINGLE,EDUCATION,0
CUST-000033,38,156654.21,4,71234.69,24,10.55,476,0.2868,1,0,SELF_EMPLOYED,MASTERS,MARRIED,PERSONAL,0
CUST-000034,35,18357.36,17,30933.19,12,10.86,721,0.1493,5,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,HOME,0
CUST-000035,66,199533.41,25,79924.41,12,12.21,496,0.3647,0,3,SALARIED,MASTERS,MARRIED,PERSONAL,1
CUST-000036,50,139125.22,4,26553.84,48,15.61,637,0.1268,4,3,RETIRED,HIGH_SCHOOL,SINGLE,BUSINESS,1
CUST-000037,68,136089.72,27,58871.10,60,21.64,728,0.2283,6,0,RETIRED,HIGH_SCHOOL,SINGLE,HOME,0
CUST-000038,57,115280.56,29,35858.06,24,20.63,492,0.4552,2,0,RETIRED,PHD,SINGLE,EDUCATION,0
CUST-000039,67,120942.66,9,9751.76,36,18.91,548,0.2160,1,0,UNEMPLOYED,PHD,DIVORCED,BUSINESS,0
CUST-000040,35,181962.61,3,67478.68,12,19.08,597,0.4719,6,0,SELF_EMPLOYED,BACHELORS,MARRIED,BUSINESS,0
CUST-000041,40,29230.69,7,5902.52,12,7.82,432,0.3104,3,0,UNEMPLOYED,PHD,DIVORCED,HOME,0
CUST-000042,50,47136.26,5,16024.43,12,10.81,716,0.3238,0,0,SELF_EMPLOYED,BACHELORS,MARRIED,AUTO,0
CUST-000043,47,18164.38,29,20865.55,36,7.59,576,0.1054,0,0,SALARIED,BACHELORS,DIVORCED,HOME,1
